Date,Open,High,Low,Close,Volume,Adj Close
1999-01-12,148.13,148.13,141.00,142.19,57907200,26.17
1999-01-11,150.88,150.94,144.25,147.50,46463200,27.15
1999-01-08,152.19,152.50,147.00,149.88,50244800,27.59
1999-01-07,149.75,150.63,148.25,150.50,51150400,27.70
1999-01-06,149.50,151.50,146.75,151.25,69064800,27.84
1999-01-05,141.88,148.00,141.44,146.50,64281600,26.97
1999-01-04,139.61,145.25,139.38,141.00,69305200,25.95
1998-12-31,139.19,140.00,138.00,138.69,23834400,25.53
1998-12-30,140.88,143.36,138.88,139.00,34942800,25.58
1998-12-29,142.56,142.56,139.63,140.50,29651600,25.86
1998-12-28,143.00,143.63,141.50,142.38,23636400,26.21
1998-12-24,143.63,144.00,141.50,141.75,13832400,26.09
1998-12-23,140.38,143.81,139.38,143.56,34940000,26.42
1998-12-22,140.50,140.50,137.38,138.44,41350000,25.48
1998-12-21,138.63,142.19,137.75,140.44,48112000,25.85
1998-12-18,135.00,138.25,134.13,137.81,59648000,25.37
1998-12-17,134.19,134.88,132.25,134.38,46963600,24.73
1998-12-16,132.50,135.13,129.13,133.75,60024000,24.62
1998-12-15,129.31,132.00,129.25,131.88,51719600,24.27
1998-12-14,132.75,133.75,127.69,127.94,64077600,23.55
1998-12-11,131.00,134.69,130.75,134.00,51728800,24.66
1998-12-10,133.13,134.63,131.38,131.56,57015600,24.22
1998-12-09,132.13,133.81,130.00,133.63,44781600,24.60
1998-12-08,132.88,134.25,129.75,131.19,77585200,24.15
1998-12-07,127.69,133.75,126.75,133.56,89809200,24.58
1998-12-04,124.94,127.37,124.00,127.37,44352000,23.44
1998-12-03,126.87,128.94,122.00,122.12,51426800,22.48
1998-12-02,129.19,129.75,125.50,126.75,65759600,23.33
1998-12-01,120.25,129.75,120.12,129.50,86330800,23.84
1998-11-30,129.38,130.27,121.94,122.00,70900000,22.46
1998-11-27,125.12,128.13,124.31,128.06,26335600,23.57
1998-11-25,122.69,124.37,120.75,124.25,41394000,22.87
1998-11-24,118.69,125.06,118.62,121.69,101114800,22.40
1998-11-23,112.50,120.19,112.50,119.19,110870400,21.94
1998-11-20,112.75,113.75,111.25,113.62,48405200,20.91
1998-11-19,109.06,112.50,109.06,111.75,45220800,20.57
1998-11-18,109.56,111.06,109.12,109.75,41691200,20.20
1998-11-17,109.00,112.37,108.94,111.87,58744000,20.59
1998-11-16,111.31,111.75,107.50,108.81,42620400,20.03
1998-11-13,108.44,110.50,108.37,110.00,28368800,20.25
1998-11-12,110.25,111.12,108.50,108.75,38526800,20.02
1998-11-11,113.44,114.75,110.87,111.06,63899200,20.44
1998-11-10,110.12,113.44,110.06,112.06,72075600,20.63
1998-11-09,109.19,111.37,108.81,110.69,68956800,20.37
1998-11-06,106.06,109.75,105.94,109.31,74461200,20.12
1998-11-05,105.31,107.62,105.25,106.37,76727200,19.58
1998-11-04,105.81,107.31,104.87,105.50,67459600,19.42
1998-11-03,105.50,106.56,104.75,105.19,36546800,19.36
1998-11-02,106.37,106.87,105.00,105.81,48388400,19.48
1998-10-30,107.25,108.19,105.12,105.87,59322800,19.49
1998-10-29,105.44,107.50,105.44,106.62,52402800,19.62
1998-10-28,104.87,106.62,104.87,105.69,56808400,19.45
1998-10-27,107.75,107.87,105.00,105.44,65434800,19.41
1998-10-26,106.81,108.00,105.69,107.06,59678400,19.71
1998-10-23,109.00,110.00,106.19,106.37,59882000,19.58
1998-10-22,106.00,110.12,105.25,110.00,81910800,20.25
1998-10-21,104.87,106.87,103.06,106.44,125377200,19.59
1998-10-20,103.25,103.37,99.62,100.25,94368400,18.45
1998-10-19,104.12,104.19,101.12,102.94,60177600,18.95
1998-10-16,106.00,106.50,104.00,105.06,68620000,19.34
1998-10-15,100.12,105.62,99.62,105.44,66253600,19.41
1998-10-14,95.87,101.37,95.87,100.19,62403200,18.44
1998-10-13,99.50,99.75,95.75,96.44,47995600,17.75
1998-10-12,99.25,101.00,98.50,99.75,51502800,18.36
1998-10-09,93.19,97.00,92.25,96.87,72661600,17.83
1998-10-08,90.56,91.87,87.75,91.19,144719200,16.78
1998-10-07,97.37,99.75,93.37,94.12,90710400,17.32
1998-10-06,102.50,103.62,97.37,97.62,76550000,17.97
1998-10-05,102.50,102.87,96.50,101.19,114937600,18.63
1998-10-02,103.37,105.19,101.00,104.12,65889600,19.16
1998-10-01,108.06,109.50,104.00,104.06,65442400,19.15
1998-09-30,112.31,113.56,110.03,110.06,38875600,20.26
1998-09-29,111.81,114.00,111.37,112.87,48743200,20.78
1998-09-28,113.00,114.37,109.75,111.31,41405200,20.49
1998-09-25,109.12,113.12,108.62,113.06,47878400,20.81
1998-09-24,113.12,114.62,109.00,110.12,63521600,20.27
1998-09-23,109.62,113.87,108.50,113.62,65263600,20.91
1998-09-22,108.44,109.87,106.75,109.19,43082000,20.10
1998-09-21,102.50,108.06,102.37,107.87,45872000,19.85
1998-09-18,105.75,106.25,104.31,105.37,47361600,19.39
1998-09-17,105.31,106.50,104.81,104.94,45178400,19.32
1998-09-16,107.87,108.50,106.12,108.19,42886800,19.91
1998-09-15,105.87,108.44,105.12,108.31,49367600,19.94
1998-09-14,104.94,107.06,104.87,106.00,45086800,19.51
1998-09-11,101.12,104.62,100.12,104.25,58989200,19.19
1998-09-10,100.00,101.12,98.69,100.75,60758000,18.54
1998-09-09,102.25,104.44,101.62,102.25,65480800,18.82
1998-09-08,100.00,102.06,99.06,101.97,60625600,18.77
1998-09-04,99.69,100.25,96.12,96.62,50890400,17.78
1998-09-03,98.75,100.75,98.37,99.25,67506800,18.27
1998-09-02,101.81,104.25,100.25,100.56,63438400,18.51
1998-09-01,95.25,101.75,94.50,101.25,140112400,18.64
1998-08-31,104.87,106.50,95.75,95.94,132690400,17.66
1998-08-28,108.25,109.62,104.75,105.25,72730000,19.37
1998-08-27,110.56,112.75,108.50,109.25,74874000,20.11
1998-08-26,111.25,113.75,110.87,112.56,44804400,20.72
1998-08-25,111.37,113.69,111.12,112.81,58026800,20.76
1998-08-24,110.31,112.00,110.00,110.37,26319200,20.31
1998-08-21,111.12,111.87,108.75,110.62,59523600,20.36
1998-08-20,110.12,112.75,109.69,112.56,49970400,20.72
1998-08-19,112.25,112.75,110.25,110.56,55709600,20.35
1998-08-18,107.87,111.81,107.37,111.25,70591200,20.48
1998-08-17,103.50,107.37,103.00,107.31,54073200,19.75
1998-08-14,104.69,105.06,103.50,104.25,29566400,19.19
1998-08-13,104.12,106.00,103.75,103.94,51193200,19.13
1998-08-12,104.31,105.19,103.00,105.06,53760000,19.34
1998-08-11,102.87,104.37,102.00,103.44,60976400,19.04
1998-08-10,105.81,106.31,104.44,104.44,46763200,19.22
1998-08-07,107.44,107.50,105.06,105.87,54972400,19.49
1998-08-06,103.75,106.94,103.62,106.87,68308000,19.67
1998-08-05,104.12,106.25,101.50,104.31,120208800,19.20
1998-08-04,108.62,109.62,104.19,104.50,91412000,19.23
1998-08-03,109.12,110.87,107.37,108.44,73566400,19.96
1998-07-31,112.94,113.52,109.94,109.94,53705200,20.24
1998-07-30,111.94,113.62,110.75,113.44,72746400,20.88
1998-07-29,113.25,114.25,110.06,110.69,59738000,20.37
1998-07-28,116.00,116.87,112.00,112.25,78378400,20.66
1998-07-27,113.12,116.75,110.69,116.75,58998000,21.49
